z,a,b,c,d,e,f,g,p,male,female
112,私立,一般大學,1010,元智大學,2191001,藝術與設計學系,學士班(日間),147,41,106
112,私立,一般大學,1010,元智大學,2191001,藝術與設計學系藝術與設計管理碩士班,碩士班(日間),17,7,10
112,私立,一般大學,1010,元智大學,2299047,文化產業與文化政策博士學位學程,博士班,26,14,12
112,私立,一般大學,1010,元智大學,2299049,人文社會學院英語學士班,學士班(日間),117,31,86
112,私立,一般大學,1010,元智大學,2311007,應用外語學系,學士班(日間),216,68,148
112,私立,一般大學,1010,元智大學,2311007,應用外語學系,碩士班(日間),19,5,14
112,私立,一般大學,1010,元智大學,2311007,應用外語學系,碩士在職專班,21,4,17
112,私立,一般大學,1010,元智大學,2322004,中國語文學系,學士班(日間),168,54,114
112,私立,一般大學,1010,元智大學,2322004,中國語文學系,碩士班(日間),22,5,17
112,私立,一般大學,1010,元智大學,3141009,社會暨政策科學學系,學士班(日間),197,69,128
112,私立,一般大學,1010,元智大學,3141009,社會暨政策科學學系,碩士班(日間),8,3,5
112,私立,一般大學,1010,元智大學,3141009,社會暨政策科學學系,碩士在職專班,39,11,28
112,私立,一般大學,1010,元智大學,3141009,社會暨政策科學學系現役軍人營區碩士在職專班,碩士在職專班,1,1,0
112,私立,一般大學,1010,元智大學,4121014,管理學院財務金融暨會計碩士班,碩士班(日間),70,36,34
112,私立,一般大學,1010,元智大學,4131019,管理學院經營管理碩士班,碩士班(日間),116,36,80
112,私立,一般大學,1010,元智大學,4131021,管理學院創新經營管理越南境外碩士在職專班,碩士在職專班,9,5,4
112,私立,一般大學,1010,元智大學,4131021,管理學院管理碩士在職專班,碩士在職專班,132,64,68
112,私立,一般大學,1010,元智大學,4191056,管理學院高階創新經營管理越南境外碩士在職專班,碩士在職專班,29,22,7
112,私立,一般大學,1010,元智大學,4199018,管理學院博士班,博士班,76,48,28
112,私立,一般大學,1010,元智大學,4199018,管理學院學士班,學士班(日間),1666,576,1090
112,私立,一般大學,1010,元智大學,5121025,生物科技與工程研究所,碩士班(日間),11,8,3
112,私立,一般大學,1010,元智大學,5124027,生物與醫學資訊碩士學位學程,碩士班(日間),6,1,5
112,私立,一般大學,1010,元智大學,6131011,資訊管理學系,學士班(日間),553,297,256
112,私立,一般大學,1010,元智大學,6131011,資訊管理學系,碩士班(日間),48,24,24
112,私立,一般大學,1010,元智大學,6131011,資訊管理學系,碩士在職專班,44,24,20
112,私立,一般大學,1010,元智大學,6131011,資訊管理學系,博士班,21,17,4
112,私立,一般大學,1010,元智大學,6131011,資訊管理學系碩士在職現役軍人營區專班,碩士在職專班,27,16,11
112,私立,一般大學,1010,元智大學,6131028,資訊工程學系,學士班(日間),676,478,198
112,私立,一般大學,1010,元智大學,6131028,資訊工程學系,碩士班(日間),103,83,20
112,私立,一般大學,1010,元智大學,6131028,資訊工程學系,碩士在職專班,35,29,6
112,私立,一般大學,1010,元智大學,6131028,資訊工程學系,博士班,20,19,1
112,私立,一般大學,1010,元智大學,6131051,資訊學院英語學士班,學士班(日間),169,117,52
112,私立,一般大學,1010,元智大學,6133013,資訊傳播學系,學士班(日間),466,235,231
112,私立,一般大學,1010,元智大學,6133013,資訊傳播學系,碩士班(日間),19,10,9
112,私立,一般大學,1010,元智大學,7111041,化學工程與材料科學學系,學士班(日間),479,270,209
112,私立,一般大學,1010,元智大學,7111041,化學工程與材料科學學系,碩士班(日間),59,38,21
112,私立,一般大學,1010,元智大學,7111041,化學工程與材料科學學系,碩士在職專班,28,24,4
112,私立,一般大學,1010,元智大學,7111041,化學工程與材料科學學系,博士班,15,13,2
112,私立,一般大學,1010,元智大學,7141032,電機通訊學院英語學士班,學士班(日間),149,114,35
112,私立,一般大學,1010,元智大學,7141033,電機工程學系,學士班(日間),1255,996,259
112,私立,一般大學,1010,元智大學,7141033,電機工程學系,碩士班(日間),191,166,25
112,私立,一般大學,1010,元智大學,7141033,電機工程學系,碩士在職專班,40,36,4
112,私立,一般大學,1010,元智大學,7141033,電機工程學系,博士班,38,34,4
112,私立,一般大學,1010,元智大學,7151037,機械工程學系,學士班(日間),415,359,56
112,私立,一般大學,1010,元智大學,7151037,機械工程學系,碩士班(日間),19,17,2
112,私立,一般大學,1010,元智大學,7151037,機械工程學系,碩士在職專班,27,26,1
112,私立,一般大學,1010,元智大學,7151037,機械工程學系,博士班,14,14,0
112,私立,一般大學,1010,元智大學,7191043,工業工程與管理學系,學士班(日間),419,258,161
112,私立,一般大學,1010,元智大學,7191043,工業工程與管理學系,碩士班(日間),98,63,35
112,私立,一般大學,1010,元智大學,7191043,工業工程與管理學系,碩士在職專班,93,50,43
112,私立,一般大學,1010,元智大學,7191043,工業工程與管理學系,博士班,28,17,11
112,私立,一般大學,1010,元智大學,7193055,醫學研究所,碩士班(日間),14,10,4
112,私立,一般大學,1010,元智大學,7194050,工程學院英語學士班,學士班(日間),88,60,28
